trip_id,passenger_name,age,city,transport_mode,distance_km,fare,trip_start,trip_end,rating,weather_condition,payment_method
TRP10035,,63,Bangalore,Bike,,error,11/05/2025 02:55 PM,2025-05-11 16:41:56,five,Sunny,
TRP10036,William,59,Mumbai,Metro,,122.06,invalid_date,2025-08-12 14:23:02,,,wallet
TRP10037,MITCHELL GONZALEZ,27,Kolkata,metro,,497.01,invalid_date,2026-01-18 15:37:12,-1,Cloudy,
TRP10038, Shelley Jones ,,Hyderabad,Taxi,,,2025-12-13 07:27:31,,4.8,Rainy,
TRP10039, Michael Grant ,twenty five,delhi,BUS ,,,,25-09-2025 04:33,-1,Fog,wallet
TRP10040,,,Kolkata,Bike,unknown,₹1119.46,12/12/2025 06:21 AM,,-1,sunny,cash 
TRP10041,,twenty five,Kolkata,Auto,unknown,,invalid_date,2025-07-19 11:09:02,-1,Fog,wallet
TRP10042, Eric Coleman ,twenty five,Delhi,Bike,47.11,613.05,26/10/2025 03:08 PM,,4.8,Rainy,Cash
TRP10043,,42,,Auto,19.6,error,,,1.2,sunny,UPI
TRP10044,KRISTIN GAINES,32,Bangalore,Auto,9.52,error,2025-06-27 19:39:15,2025-06-27 20:58:15,,,wallet
TRP10045,Lisa Fritz,N/A,,Auto,unknown,1364.45,03/11/2025 09:29 AM,03-11-2025 09:49,-1,Fog,wallet
TRP10046,Jennifer Wood,N/A,Pune,Bike,25.52,,05-29-2025 04:38,2025-05-29 07:17:01,-1,Cloudy,Cash
TRP10047,Lorraine,twenty five,delhi,metro,unknown,error,invalid_date,07-08-2025 18:11,,,Cash
TRP10048,ALAN BARKER,,Kolkata,train,28.0,150.33,,2025-09-25 03:35:57,-1,storm,wallet
TRP10049,Christopher Dixon,N/A,,BUS ,unknown,,invalid_date,2026-03-13 02:11:27,-1,sunny,UPI
TRP10050,KIMBERLY MILES,35, Mumbai ,train,5.57,₹193.85,03-03-2026 21:33,,6,sunny,wallet
TRP10051, Ryan Webb ,45,Bangalore,train,unknown,error,,25-12-2025 23:33,,,Card
TRP10052,,,Bangalore,BUS ,17.9,₹496.23,,20-04-2026 07:18,6,Sunny,Card
TRP10053, Felicia Riley ,,Pune,Taxi,,error,,23-03-2026 17:32,five,storm,
TRP10054,RACHEL WARD,N/A,Hyderabad,train,42.7,error,2026-01-30 04:45:50,,,Rainy,
TRP10055,Brad Kemp,43,delhi,Taxi,35.01,,invalid_date,2025-11-30 12:34:56,6,Cloudy,
TRP10056,LAWRENCE LOPEZ,26,,train,unknown,error,2025-12-26 05:12:37,26-12-2025 06:22,-1,Rainy,Cash
TRP10057, William Lopez ,N/A,Pune,Bike,15.8,error,02-21-2026 01:00,,,Sunny,
TRP10058, Krista Sloan ,16,Delhi,BUS ,unknown,₹541.44,12-20-2025 20:36,,five,,Cash
TRP10059,Kevin Thomas,,Delhi,Walk,,₹634.94,,20-12-2025 13:17,,sunny,UPI
TRP10060,Jessica,,Kolkata,Walk,40.41,error,12-04-2025 21:37,2025-12-05 00:04:01,4.2,Fog,cash 
TRP10061,Michael Perez,N/A,,train,41.3,,08/09/2025 04:19 AM,,6,,Card
TRP10062, Christopher Cruz ,23,Delhi,Bike,unknown,error,,15-02-2026 23:31,five,storm,
TRP10063,Andrew Gonzalez,47,Pune,Bike,19.2,,09-20-2025 22:37,,,Sunny,wallet
TRP10064,Amanda,,Mumbai,Auto,32.44,₹513.59,19/12/2025 05:17 AM,2025-12-19 07:46:28,-1,Rainy,cash 
TRP10065,MAXWELL SCHAEFER,twenty five,Hyderabad,Taxi,,₹234.14,03-15-2026 02:17,2026-03-15 04:40:59,1.4,Rainy,Cash
TRP10066,Jessica,twenty five,,Walk,unknown,1117.74,invalid_date,15-01-2026 13:18,3.1,storm,cash 
TRP10067,CHARLES HANEY,18,Kolkata,BUS ,2.5,1274.0,invalid_date,2025-11-17 04:23:59,,Cloudy,UPI
TRP10068,Suzanne Bowen,33,,metro,,691.5,,,6,storm,UPI
TRP10069, Matthew Miller MD ,,Pune,train,,₹573.97,invalid_date,2026-05-07 04:25:59,1.4,Sunny,wallet
TRP10070,Scott Singleton,N/A,Bangalore,metro,,error,06-08-2025 05:24,,2.2,Cloudy,cash 
TRP10071,JUAN MOORE,,Chennai,Bus,18.16,error,,,-1,Sunny,cash 
TRP10072,Riley,N/A,Kolkata,Walk,unknown,₹613.16,2025-10-13 02:08:40,2025-10-13 04:55:40,five,storm,wallet
TRP10073, Felicia Johnson ,N/A,Kolkata,Walk,39.06,1327.35,2025-05-22 21:54:02,23-05-2025 00:51,6,storm,cash 
TRP10074, Ricardo Cook ,twenty five, Mumbai ,Bus,6.4,₹476.46,,2025-10-29 10:02:46,,Rainy,UPI
TRP10075,Amy,34,Delhi,BUS ,9.6,,invalid_date,,1.2,storm,Cash
TRP10076,Sheila,43,Pune,train,,error,2025-10-28 13:03:30,28-10-2025 14:40,five,storm,cash 
TRP10077, Ross Lopez ,,Kolkata,Walk,11.86,₹188.76,01-17-2026 23:30,,five,Rainy,Cash
TRP10078,RUBEN ANDERSON,twenty five,,Taxi,unknown,error,,03-01-2026 21:01,-1,,
TRP10079,,N/A,Bangalore,BUS ,,,2025-09-09 21:21:01,09-09-2025 23:35,2.8,Sunny,Card
TRP10080,Timothy,20,,metro,19.84,₹1218.53,,17-05-2025 08:49,3.0,storm,Cash
TRP10081,Laura,21,Bangalore,Metro,22.5,,06-10-2025 11:01,10-06-2025 12:41,,,cash 
TRP10082,James Campbell,N/A,Mumbai,Walk,,₹1280.32,2025-08-27 22:26:26,,,Fog,
TRP10083, Elizabeth Moody ,24,Kolkata,metro,unknown,1011.77,invalid_date,,,Fog,UPI
TRP10084,CAROLYN SCHROEDER,,Chennai,Auto,,1269.75,08-30-2025 16:05,,6,Rainy,UPI
TRP10085,PAMELA PALMER,60,Bangalore,BUS ,unknown,error,,2026-02-28 02:19:37,6,sunny,UPI
TRP10086,Rodney,,delhi,Bike,25.6,₹1229.0,2025-06-24 20:31:31,,,Cloudy,Cash
TRP10087,,N/A,Mumbai,Taxi,unknown,₹155.74,11-06-2025 11:40,2025-11-06 13:40:56,6,Cloudy,Card
TRP10088,MATTHEW GONZALEZ,N/A,Chennai,Metro,,,25/09/2025 03:08 PM,,-1,Sunny,Cash
TRP10089,Megan Fleming,twenty five, Mumbai ,metro,unknown,error,,21-11-2025 17:53,6,Cloudy,cash 
TRP10090,Amanda Nguyen,48,Chennai,Taxi,,376.04,04-25-2026 17:26,2026-04-25 19:45:51,-1,Cloudy,cash 
TRP10091,,,Delhi,train,49.07,₹119.99,2026-01-06 05:25:30,,,Rainy,Cash
TRP10092,Jennifer,twenty five,delhi,BUS ,31.96,1079.75,06/10/2025 09:20 AM,2025-10-06 10:40:37,4.2,Fog,Card
TRP10093,,68,delhi,Bike,,,2026-03-25 16:10:38,25-03-2026 17:24,6,,wallet
TRP10094, Justin Adams ,,delhi,Walk,46.29,₹136.81,04-19-2026 10:37,19-04-2026 13:01,,,Card
TRP10095,Robert,,Bangalore,BUS ,,929.98,invalid_date,25-04-2026 18:07,five,Sunny,UPI
TRP10096,,,Delhi,Taxi,,555.98,01/10/2025 08:03 AM,,,Fog,wallet
TRP10097,Christopher Ritter,24,Hyderabad,train,16.4,error,2025-12-18 08:32:40,18-12-2025 11:00,6,Rainy,cash 
TRP10098,Bryan,,Chennai,Bus,unknown,1350.04,12-10-2025 23:57,,2.4,Cloudy,cash 
TRP10099,Kelsey,twenty five,Bangalore,Walk,unknown,error,04-14-2026 22:03,,6,sunny,cash 
TRP10100,MR. KEITH ANDERSON,55,Mumbai,Bike,36.1,798.03,07-17-2025 05:43,,6,,cash 
TRP10101,Jessica,72,,Taxi,38.62,,05/01/2026 02:49 PM,05-01-2026 15:36,five,Fog,cash 
TRP10102,Ashley,N/A,Chennai,metro,14.45,₹269.58,,,,sunny,cash 
TRP10103,Daniel Moody,68,Mumbai,Metro,,error,2026-03-31 04:04:05,31-03-2026 06:47,-1,Fog,
TRP10104,Patrick,,Kolkata,BUS ,3.9,,21/07/2025 07:30 AM,21-07-2025 10:10,,,Card
TRP10105, Jessica Foster ,N/A, Mumbai ,metro,6.2,415.86,07-05-2025 03:06,05-07-2025 03:23,6,Rainy,UPI
TRP10106,Hannah,N/A,Chennai,Taxi,26.2,1321.03,,07-08-2025 05:31,five,Cloudy,Card
TRP10107,Paul Porter,,,BUS ,15.0,,01-08-2026 03:38,2026-01-08 05:26:25,-1,Cloudy,UPI
TRP10108,Jeffrey,51,Pune,metro,23.07,,,14-12-2025 00:25,five,Cloudy,cash 
TRP10109, Luis Hall ,48,Delhi,Taxi,40.4,₹1341.83,,01-11-2025 16:27,-1,,Card
TRP10110,,48, Mumbai ,BUS ,35.73,error,09-15-2025 17:34,,4.5,Cloudy,wallet
TRP10111,Brian,66,,Auto,unknown,error,15/04/2026 01:56 PM,2026-04-15 14:38:17,3.3,Rainy,Cash
TRP10112, Bryan Juarez ,twenty five,Pune,Auto,39.0,1311.77,,2025-10-31 08:24:51,6,Cloudy,wallet
TRP10113,Mary,45,Hyderabad,metro,,₹304.55,,16-06-2025 15:24,,sunny,Card
TRP10114,LISA FREEMAN,,Hyderabad,BUS ,,error,10-17-2025 12:01,2025-10-17 13:47:24,,,Cash
TRP10115,Eric,N/A,delhi,Auto,,₹931.2,2026-02-07 18:58:08,,five,,UPI
TRP10116,Virginia Warner,N/A,delhi,Bus,unknown,error,12/11/2025 03:43 PM,12-11-2025 17:50,2.3,sunny,Cash
TRP10117,,30,Bangalore,train,44.23,error,05-04-2026 17:19,2026-05-04 18:11:49,-1,Cloudy,Cash
TRP10118,Kevin,45, Mumbai ,BUS ,7.6,,invalid_date,,five,Sunny,
TRP10119,Mike,34,Chennai,Taxi,32.3,1243.94,2025-07-11 13:45:07,2025-07-11 15:32:07,6,Fog,UPI
TRP10120,Keith Gilbert,twenty five,delhi,Bike,47.75,₹552.14,2025-05-12 05:03:53,12-05-2025 05:23,6,,cash 
TRP10121,Kimberly,N/A,Hyderabad,Auto,unknown,,,16-11-2025 07:46,five,sunny,UPI
TRP10122,,71, Mumbai ,BUS ,26.88,₹830.52,,2026-02-04 13:44:54,-1,storm,Cash
TRP10123,CAROLINE CURTIS,,Mumbai,metro,unknown,779.61,invalid_date,,4.2,storm,Card
TRP10124,Brandon Reyes,29,Mumbai,Metro,21.76,error,10-20-2025 05:01,20-10-2025 05:14,five,sunny,
TRP10125, Sara Lopez ,,delhi,train,unknown,₹534.7,invalid_date,,five,sunny,Cash
TRP10126,Richard Howell,45,Pune,metro,12.3,532.32,invalid_date,,4.1,Rainy,UPI
TRP10127,Brian Morris,22,delhi,Metro,3.2,366.82,,18-12-2025 13:01,-1,Fog,cash 
TRP10128,,N/A,Chennai,Bike,unknown,₹427.23,invalid_date,,,,
TRP10129, Jesse Ortiz ,N/A,Pune,train,19.4,₹353.51,2025-07-03 20:28:15,,6,Cloudy,cash 
TRP10130,MICHAEL STEWART,N/A,Chennai,Walk,,₹1092.39,09-22-2025 22:53,22-09-2025 23:11,-1,Sunny,Cash
TRP10131,VICTOR DURHAM,64, Mumbai ,Auto,,₹1365.31,2026-02-14 16:26:48,,6,Rainy,
TRP10132,,,Chennai,metro,14.9,,,15-09-2025 10:21,6,sunny,Card
TRP10133,ELIZABETH BELL,,Delhi,Auto,1.8,₹310.36,,2026-04-01 01:45:39,,Fog,wallet
TRP10134, Frank Moreno ,N/A,Bangalore,Taxi,36.3,795.44,2025-12-08 22:08:22,2025-12-09 01:04:22,five,Sunny,
TRP10135,GARY BROWN,29,delhi,Walk,32.2,error,2025-06-04 04:30:46,,-1,Fog,Cash
TRP10136,,,Bangalore,Bus,unknown,,invalid_date,2025-07-19 04:38:48,6,storm,cash 
TRP10137,BRANDON MCCARTHY,N/A,Mumbai,Metro,19.6,₹33.99,invalid_date,02-09-2025 06:51,,Cloudy,Cash
TRP10138,,twenty five,Chennai,BUS ,,1350.98,01-30-2026 09:46,2026-01-30 10:36:02,-1,Rainy,
TRP10139, Robert Rogers ,N/A,Bangalore,Auto,,588.09,07-12-2025 09:16,2025-07-12 11:29:55,five,sunny,Cash
TRP10140,Elizabeth,65,,train,,₹686.81,,29-08-2025 01:15,-1,,wallet
TRP10141,Shelley Cameron,N/A,Chennai,Bus,unknown,1114.69,2025-07-12 16:41:39,12-07-2025 17:09,,Sunny,UPI
TRP10142,Keith Cole,, Mumbai ,metro,26.11,,2026-04-25 11:34:14,25-04-2026 13:17,2.7,,cash 
TRP10143,PHILLIP MEDINA,twenty five,Pune,Taxi,15.8,,05-11-2025 16:14,11-05-2025 18:06,,Fog,UPI
TRP10144, Charles Warren ,twenty five,delhi,Bus,1.3,,08-01-2025 19:32,01-08-2025 21:29,-1,Rainy,Card
TRP10145,Richard,twenty five,delhi,Walk,,error,02/09/2025 04:28 AM,02-09-2025 07:00,6,Fog,Cash
TRP10146,,53,Bangalore,metro,unknown,668.91,invalid_date,2026-03-09 18:35:43,five,Fog,
TRP10147,JASON DAVIS,,Mumbai,BUS ,24.5,error,2026-03-03 00:13:25,03-03-2026 02:37,-1,Cloudy,
TRP10148,Stephen Cline,twenty five,Hyderabad,Taxi,3.2,error,2026-04-30 00:20:08,2026-04-30 00:52:08,-1,,cash 
TRP10149,,60,Chennai,BUS ,unknown,530.55,invalid_date,2026-02-22 15:22:32,five,Fog,Card
TRP10150,Destiny,twenty five, Mumbai ,BUS ,5.8,491.99,11-10-2025 19:41,,five,,UPI
TRP10151,,twenty five,Hyderabad,metro,23.6,error,2026-05-07 04:06:41,,five,storm,cash 
TRP10152, Jacob Cox ,twenty five,Chennai,Bike,37.86,₹1203.26,03-31-2026 21:39,2026-03-31 23:17:17,,,wallet
TRP10153,,36,Pune,train,18.0,,,2025-09-12 14:10:11,,Sunny,UPI
TRP10154,Donna,N/A,Bangalore,metro,30.2,₹740.27,13/05/2025 08:59 PM,13-05-2025 23:26,five,Fog,wallet
TRP10155,,N/A,Delhi,BUS ,40.9,error,08/11/2025 01:40 PM,2025-11-08 15:50:35,five,Fog,Cash
TRP10156,Ernest,N/A,Bangalore,BUS ,38.9,833.59,,14-06-2025 20:39,3.2,sunny,
TRP10157, William White ,,Mumbai,Auto,50.0,408.97,2025-10-02 22:55:46,2025-10-03 00:52:46,-1,,Card
TRP10158,,twenty five,,Taxi,39.46,₹807.78,06-09-2025 19:43,09-06-2025 21:10,-1,,Cash
TRP10159,DAVID HARRINGTON,,Delhi,Bike,unknown,₹1072.86,invalid_date,11-05-2025 08:59,,,wallet
TRP10160, Alan Garcia ,44,Pune,metro,,692.95,invalid_date,,,sunny,Cash
TRP10161,,,Chennai,BUS ,,error,2026-04-21 06:47:27,2026-04-21 08:19:27,6,Sunny,Cash
TRP10162,KEVIN ELLIOTT,44,Pune,Auto,,,09-17-2025 06:58,17-09-2025 07:26,five,Sunny,wallet
TRP10163,Lauren,twenty five,Pune,Bus,1.1,error,2025-07-11 07:19:21,,2.4,sunny,wallet
TRP10164,SUSAN SMITH,twenty five,Pune,Bus,,error,09/11/2025 06:13 PM,2025-11-09 18:52:20,3.1,Cloudy,
TRP10165,RILEY COLEMAN,twenty five,Bangalore,train,unknown,148.3,invalid_date,25-09-2025 01:29,,sunny,UPI
TRP10166,DR. REGINALD BROWNING,33,Chennai,metro,,,,,6,Fog,
TRP10167,David Vega,twenty five,delhi,train,6.52,,10/07/2025 02:35 PM,10-07-2025 16:01,-1,storm,Card
TRP10168,,,Mumbai,Metro,unknown,error,06-07-2025 10:23,,6,storm,
TRP10169, Tommy Kennedy ,56, Mumbai ,Taxi,unknown,,,,4.1,Fog,
TRP10170, Courtney Torres ,twenty five,Delhi,Auto,22.3,₹101.44,2026-03-24 08:28:07,,1.5,Rainy,wallet
TRP10171,Anna,N/A,Bangalore,Walk,,1104.75,invalid_date,05-04-2026 10:52,,,cash 
TRP10172,Eric Chavez,45,Hyderabad,Metro,,252.82,,2026-03-28 12:15:43,1.2,Rainy,Cash
TRP10173, Edward Baker ,twenty five,Bangalore,Metro,45.8,,2026-01-30 14:39:39,,-1,,Cash
TRP10174,KERRY PRICE,67,Delhi,train,,1164.82,invalid_date,2026-01-13 14:34:05,,Cloudy,Card
TRP10175,,N/A,,BUS ,unknown,242.84,,11-09-2025 19:24,3.5,Fog,Cash
TRP10176, Emily Andersen ,N/A,Mumbai,Auto,12.7,₹1459.39,2025-08-28 20:20:11,2025-08-28 21:36:11,-1,storm,
TRP10177,Amanda,45,,Bus,32.2,error,24/03/2026 02:13 PM,2026-03-24 17:07:43,,sunny,wallet
TRP10178,Nicholas,N/A,Chennai,Bus,47.23,error,invalid_date,2025-12-11 08:16:14,five,storm,Card
TRP10179, Michael Walker ,32,Mumbai,Taxi,40.57,₹1287.73,15/10/2025 11:54 AM,15-10-2025 12:22,2.6,,Card
TRP10180,Tiffany,68,Pune,BUS ,28.24,₹1209.77,2026-01-29 01:09:51,2026-01-29 01:45:51,five,Rainy,UPI
TRP10181, Christopher Goodwin ,39,,Bike,45.95,₹976.06,05-04-2026 15:26,2026-05-04 15:54:22,6,Sunny,UPI
TRP10182,,,delhi,Metro,,,07/12/2025 08:06 AM,2025-12-07 10:05:32,-1,Rainy,
TRP10183,Stephanie,42,delhi,Metro,19.8,₹1329.29,,2025-06-16 16:49:30,,storm,cash 
TRP10184, David Gibson ,74, Mumbai ,Walk,,,invalid_date,,-1,Rainy,UPI
TRP10185,Jeanette Costa,twenty five,Kolkata,metro,41.0,error,14/12/2025 03:59 PM,2025-12-14 17:34:47,,sunny,
TRP10186,Michele,74,Hyderabad,Taxi,10.2,822.34,2025-07-30 19:20:42,2025-07-30 19:48:42,3.4,Cloudy,wallet
TRP10187,Kayla Stewart,74,Chennai,Taxi,,₹238.61,,29-04-2026 17:02,,,
TRP10188, Jose Maxwell ,N/A,Kolkata,Walk,8.7,,,,-1,sunny,Card
TRP10189,ANDREA MORALES,twenty five,Pune,Bike,unknown,error,2025-11-26 07:48:39,2025-11-26 10:18:39,-1,Rainy,
TRP10190,,,Bangalore,Walk,,268.47,10-18-2025 02:52,18-10-2025 05:48,five,Rainy,
TRP10191,Joshua Martinez,38,Delhi,Metro,unknown,error,,31-07-2025 00:16,6,sunny,cash 
TRP10192,CATHY SCHULTZ,26,Delhi,Bike,1.98,error,2025-08-19 07:32:15,,4.8,Fog,cash 
TRP10193,,73,Pune,Taxi,30.76,₹324.21,,,-1,Fog,
TRP10194,Paul,35,Delhi,train,unknown,100.67,,28-06-2025 04:32,1.8,Rainy,UPI
TRP10195,Jennifer,21,Kolkata,train,,₹825.31,invalid_date,03-03-2026 23:15,1.7,Fog,wallet
TRP10196, Dorothy Jordan ,N/A,,Metro,8.41,error,06/10/2025 04:54 PM,,6,sunny,cash 
TRP10197, Michael Mendez ,,,Auto,24.34,₹1352.67,invalid_date,2026-02-01 23:40:36,five,Rainy,UPI
TRP10198,PHILIP MALDONADO,18,Pune,Auto,,493.23,invalid_date,,,sunny,Card
TRP10199,,45,,metro,unknown,239.34,,2026-01-27 10:32:18,-1,Fog,wallet
TRP10200,John,,,BUS ,unknown,error,invalid_date,23-03-2026 07:13,3.8,,wallet
TRP10201,Rachel,73,Hyderabad,Bike,16.24,,11-08-2025 23:43,09-11-2025 01:41,-1,,Cash
TRP10202,PAULA MORTON,,delhi,metro,unknown,error,,,five,sunny,UPI
TRP10203,Matthew Moore,,Delhi,Walk,14.4,767.59,2026-02-14 17:56:51,2026-02-14 20:55:51,-1,storm,UPI
TRP10204, Heather Howard ,N/A,Hyderabad,Taxi,42.05,₹592.12,25/05/2025 10:55 PM,2025-05-26 01:26:08,five,Fog,
TRP10205, Jessica Shelton ,48,delhi,Taxi,32.72,,05-08-2026 08:20,08-05-2026 11:09,,storm,Card
TRP10206,BRIDGET FLYNN,35,,train,,,2026-03-05 14:36:51,05-03-2026 15:57,,,Card
TRP10207,Michelle,N/A,Chennai,Taxi,26.35,error,03-23-2026 04:34,,1.6,,wallet
TRP10208,Michael,,Pune,train,unknown,error,12-22-2025 07:39,,five,sunny,
TRP10209,,27,delhi,Taxi,unknown,1421.45,08-16-2025 03:06,2025-08-16 04:07:41,,storm,Card
TRP10210,Ryan,N/A,delhi,Bus,24.06,718.89,invalid_date,,2.2,sunny,UPI
TRP10211,WILLIAM WHEELER,,,BUS ,unknown,₹741.62,2025-06-20 06:12:15,2025-06-20 07:37:15,five,sunny,UPI
TRP10212,,,Mumbai,Taxi,32.0,654.96,,2025-10-08 02:46:48,3.9,Fog,cash 
TRP10213,DESIREE FORD,17,Chennai,Auto,unknown,,2026-02-01 19:21:32,2026-02-01 20:08:32,,storm,
TRP10214,,N/A,Pune,Taxi,,error,13/07/2025 04:57 PM,2025-07-13 17:06:18,five,Rainy,
TRP10215,Joseph Farrell,twenty five,Mumbai,Walk,39.8,1317.29,2025-11-24 10:40:52,,1.4,Sunny,
TRP10216,Cristian Haney,,Mumbai,metro,unknown,,2025-06-03 18:07:25,,-1,Cloudy,
TRP10217,ERIK BOOKER,42, Mumbai ,Bus,39.5,,29/06/2025 10:19 AM,29-06-2025 12:37,,Rainy,Cash
TRP10218,,twenty five,delhi,Walk,12.49,error,2025-07-05 01:08:05,,1.3,Fog,
TRP10219,CHRISTOPHER STOUT,N/A,delhi,Metro,5.89,,2025-05-10 12:11:37,2025-05-10 14:05:37,4.4,Sunny,UPI
TRP10220,DONALD WYATT,,,Bike,,error,invalid_date,,6,,UPI
TRP10221,Peter Silva,24,Bangalore,Bus,29.9,,2025-11-15 02:21:25,,five,storm,wallet
TRP10222,Christopher Roberts,,Delhi,Bus,unknown,,,,3.8,storm,
TRP10223,VICKI TORRES,,Bangalore,metro,44.71,error,28/12/2025 10:48 PM,2025-12-29 00:59:48,,Rainy,Card
TRP10224,Jean,twenty five, Mumbai ,train,12.5,677.4,invalid_date,08-12-2025 19:04,6,,
TRP10225,Donna Rivers,,Delhi,metro,,error,05-06-2026 20:19,2026-05-06 21:51:05,6,Fog,cash 
TRP10226,,N/A,delhi,Bus,5.77,,,27-06-2025 02:02,3.8,Rainy,wallet
TRP10227,JOSHUA MORENO,,Mumbai,Bike,10.2,₹1240.34,2025-11-20 10:09:57,20-11-2025 11:40,-1,Sunny,wallet
TRP10228, Lisa Turner ,53,Bangalore,BUS ,37.1,₹734.74,22/11/2025 12:25 PM,,4.3,storm,
TRP10229,,N/A, Mumbai ,train,unknown,,25/12/2025 08:13 AM,2025-12-25 10:13:00,-1,Fog,
TRP10230,,36,Chennai,Auto,,₹216.35,,,3.5,sunny,Card
TRP10231,,53,Pune,metro,15.01,₹57.4,2026-03-15 09:32:54,2026-03-15 09:50:54,five,Fog,
TRP10232,Lauren,25,Kolkata,Auto,2.6,₹1304.69,,21-07-2025 23:48,,,
TRP10233,Gregory Griffith,,Pune,Walk,,error,02-18-2026 01:59,,-1,Rainy,
TRP10234,MELISSA MADDOX,twenty five,Mumbai,Taxi,48.16,,13/03/2026 01:27 PM,,4.4,Fog,wallet
TRP10235,CHAD THORNTON,N/A,,Metro,,,12-18-2025 15:16,,five,Cloudy,Cash
TRP10236,,42, Mumbai ,train,unknown,,,,-1,sunny,
TRP10237,Joseph Morris,N/A,delhi,Auto,unknown,,2025-11-12 01:10:15,12-11-2025 02:52,,Sunny,cash 
TRP10238,Natalie,67,delhi,BUS ,unknown,494.06,,,1.0,Rainy,
TRP10239,PATRICK MCKENZIE,,Mumbai,Auto,35.4,₹1410.83,invalid_date,,2.3,Sunny,Cash
TRP10240,PAMELA FISHER,32,Mumbai,Auto,21.0,952.72,2026-03-11 23:06:13,,-1,Sunny,
